of,i,and,a,by,this,to,for,is,not,the,at
3.333,1.111,6.667,2.222,0.0,0.0,0.0,0.0,3.333,2.222,3.333,0.0
3.333,1.111,2.222,2.222,0.0,0.0,1.111,0.0,2.222,2.222,5.556,1.111
6.667,4.444,3.333,2.222,0.0,0.0,3.333,0.0,1.111,0.0,2.222,0.0
2.222,0.0,3.333,2.222,1.111,0.0,3.333,2.222,0.0,1.111,3.333,2.222
1.111,0.0,4.444,2.222,0.0,1.111,5.556,0.0,1.111,1.111,1.111,0.0
0.0,2.222,3.333,0.0,0.0,1.111,3.333,0.0,5.556,3.333,1.111,0.0
2.222,2.222,3.333,0.0,1.111,1.111,2.222,2.222,1.111,0.0,6.667,1.111
3.333,0.0,4.444,6.667,0.0,0.0,5.556,0.0,2.222,0.0,2.222,0.0
3.333,0.0,3.333,2.222,1.111,1.111,7.778,0.0,0.0,2.222,2.222,0.0
4.444,0.0,5.556,1.111,1.111,0.0,2.222,1.111,0.0,1.111,6.667,2.222
3.333,0.0,5.556,2.222,0.0,0.0,2.222,2.222,0.0,0.0,2.222,1.111
3.333,0.0,2.222,4.444,2.222,1.111,5.556,0.0,0.0,2.222,0.0,0.0
8.889,0.0,2.222,1.111,0.0,0.0,4.444,0.0,0.0,1.111,4.444,1.111
4.444,3.333,5.556,0.0,0.0,0.0,3.333,0.0,0.0,0.0,3.333,0.0
3.333,3.333,3.333,2.222,0.0,1.111,4.444,0.0,1.111,1.111,2.222,0.0
1.111,1.111,7.778,0.0,0.0,0.0,6.667,0.0,1.111,0.0,2.222,1.111
4.444,0.0,2.222,3.333,0.0,1.111,6.667,2.222,0.0,2.222,4.444,0.0
5.556,0.0,3.333,2.222,0.0,0.0,2.222,2.222,0.0,2.222,3.333,1.111
2.222,0.0,1.111,3.333,0.0,1.111,2.222,1.111,0.0,2.222,3.333,0.0
4.444,0.0,3.333,5.556,0.0,0.0,2.222,1.111,0.0,2.222,2.222,1.111
4.444,0.0,1.111,1.111,0.0,1.111,1.111,0.0,0.0,1.111,5.556,1.111
4.444,0.0,2.222,2.222,0.0,0.0,3.333,0.0,0.0,0.0,1.111,0.0
4.444,0.0,1.111,3.333,0.0,0.0,2.222,2.222,0.0,1.111,5.556,0.0
1.111,0.0,6.667,2.222,0.0,0.0,4.444,0.0,0.0,0.0,2.222,2.222
0.0,2.222,0.0,1.111,0.0,1.111,3.333,0.0,2.222,1.111,3.333,1.111
1.111,3.333,1.111,3.333,0.0,0.0,2.222,2.222,0.0,2.222,3.333,1.111
1.111,4.444,0.0,0.0,0.0,0.0,3.333,0.0,0.0,4.444,2.222,1.111
2.222,2.222,1.111,3.333,0.0,0.0,3.333,0.0,2.222,3.333,4.444,1.111
3.333,4.444,2.222,0.0,1.111,0.0,4.444,0.0,3.333,2.222,4.444,0.0
2.222,3.333,0.0,1.111,0.0,2.222,5.556,1.111,0.0,2.222,4.444,1.111
3.333,3.333,3.333,1.111,1.111,1.111,3.333,0.0,2.222,2.222,3.333,1.111
0.0,7.778,2.222,3.333,0.0,0.0,3.333,0.0,0.0,0.0,2.222,0.0
0.0,5.556,3.333,2.222,0.0,0.0,4.444,1.111,0.0,2.222,3.333,0.0
1.111,0.0,4.444,0.0,1.111,0.0,5.556,2.222,0.0,2.222,4.444,0.0
2.222,2.222,2.222,2.222,0.0,0.0,2.222,2.222,3.333,2.222,1.111,1.111
3.333,4.444,2.222,2.222,0.0,1.111,3.333,1.111,2.222,0.0,2.222,0.0
2.222,0.0,3.333,2.222,0.0,0.0,0.0,4.444,0.0,2.222,6.667,0.0
1.111,0.0,5.556,1.111,0.0,0.0,5.556,1.111,2.222,1.111,3.333,0.0
2.222,4.444,2.222,1.111,0.0,1.111,3.333,0.0,0.0,4.444,1.111,1.111
3.333,1.111,1.111,0.0,0.0,1.111,2.222,0.0,0.0,3.333,3.333,0.0
1.111,0.0,3.333,1.111,0.0,0.0,3.333,0.0,0.0,3.333,3.333,1.111
1.111,0.0,3.333,0.0,0.0,0.0,0.0,0.0,0.0,1.111,5.556,0.0
4.444,0.0,2.222,1.111,0.0,0.0,5.556,1.111,0.0,3.333,3.333,0.0
4.444,0.0,4.444,1.111,0.0,0.0,2.222,1.111,0.0,0.0,2.222,0.0
3.333,0.0,1.111,0.0,1.111,0.0,5.556,0.0,0.0,0.0,8.889,1.111
4.444,0.0,5.556,0.0,0.0,0.0,2.222,0.0,0.0,1.111,5.556,0.0
2.222,0.0,4.444,3.333,0.0,0.0,2.222,1.111,0.0,2.222,7.778,1.111
3.333,0.0,4.444,1.111,0.0,0.0,8.889,1.111,0.0,0.0,1.111,0.0
5.556,0.0,2.222,1.111,0.0,0.0,3.333,0.0,0.0,0.0,4.444,0.0
2.222,0.0,3.333,2.222,1.111,0.0,4.444,0.0,0.0,1.111,5.556,1.111
1.111,2.222,2.222,4.444,2.222,2.222,1.111,0.0,3.333,0.0,1.111,2.222
0.0,4.444,3.333,2.222,0.0,0.0,1.111,1.111,0.0,2.222,2.222,2.222
2.222,6.667,2.222,4.444,0.0,0.0,1.111,0.0,1.111,2.222,3.333,1.111
1.111,3.333,0.0,3.333,1.111,0.0,3.333,0.0,1.111,1.111,2.222,0.0
3.333,2.222,2.222,1.111,0.0,1.111,1.111,2.222,0.0,1.111,3.333,0.0
2.222,1.111,5.556,0.0,0.0,0.0,2.222,0.0,0.0,1.111,2.222,2.222
4.444,0.0,2.222,1.111,0.0,0.0,5.556,3.333,0.0,2.222,5.556,1.111
2.222,2.222,0.0,0.0,0.0,1.111,4.444,1.111,0.0,0.0,3.333,0.0
3.333,2.222,0.0,1.111,0.0,1.111,1.111,1.111,1.111,1.111,4.444,1.111
3.333,0.0,2.222,0.0,0.0,0.0,4.444,0.0,0.0,1.111,2.222,1.111
2.222,4.444,1.111,4.444,0.0,1.111,4.444,3.333,3.333,2.222,1.111,0.0
3.333,5.556,2.222,2.222,0.0,0.0,0.0,3.333,3.333,2.222,0.0,0.0
1.111,1.111,3.333,0.0,0.0,0.0,3.333,2.222,3.333,1.111,3.333,1.111
3.333,2.222,3.333,4.444,0.0,1.111,1.111,0.0,2.222,2.222,4.444,1.111
2.222,4.444,3.333,0.0,0.0,0.0,2.222,0.0,2.222,5.556,2.222,2.222
1.111,3.333,1.111,2.222,1.111,0.0,4.444,1.111,4.444,1.111,1.111,0.0
5.556,3.333,1.111,3.333,1.111,2.222,0.0,1.111,1.111,3.333,2.222,4.444
0.0,2.222,2.222,0.0,0.0,0.0,2.222,1.111,1.111,1.111,4.444,1.111
2.222,2.222,2.222,0.0,1.111,1.111,8.889,1.111,1.111,1.111,1.111,0.0
1.111,0.0,4.444,1.111,0.0,0.0,4.444,2.222,0.0,1.111,2.222,1.111
1.111,0.0,2.222,2.222,0.0,0.0,5.556,2.222,0.0,2.222,1.111,0.0
1.111,0.0,4.444,4.444,0.0,0.0,5.556,0.0,0.0,0.0,4.444,1.111
1.111,0.0,4.444,2.222,0.0,1.111,1.111,1.111,0.0,0.0,6.667,0.0
1.111,0.0,3.333,3.333,0.0,0.0,4.444,3.333,0.0,0.0,6.667,0.0
6.667,0.0,2.222,3.333,1.111,0.0,1.111,0.0,0.0,1.111,3.333,0.0
5.556,0.0,1.111,1.111,1.111,0.0,1.111,1.111,0.0,0.0,8.889,0.0
4.444,0.0,4.444,1.111,1.111,0.0,3.333,1.111,0.0,1.111,2.222,1.111
6.667,0.0,3.333,2.222,0.0,0.0,1.111,0.0,0.0,5.556,1.111,0.0
1.111,0.0,1.111,0.0,0.0,0.0,3.333,1.111,0.0,2.222,2.222,0.0
0.0,2.222,6.667,3.333,2.222,0.0,5.556,1.111,0.0,0.0,3.333,1.111
1.111,7.778,0.0,3.333,0.0,0.0,4.444,1.111,0.0,2.222,1.111,0.0
1.111,2.222,5.556,1.111,0.0,0.0,1.111,1.111,0.0,0.0,6.667,2.222
5.556,0.0,6.667,2.222,0.0,0.0,4.444,2.222,0.0,0.0,2.222,0.0
0.0,5.556,1.111,1.111,0.0,0.0,2.222,0.0,5.556,2.222,4.444,2.222
0.0,2.222,3.333,1.111,1.111,0.0,5.556,1.111,1.111,0.0,2.222,0.0
2.222,0.0,4.444,0.0,0.0,0.0,3.333,1.111,0.0,4.444,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.667,0.0,0.0,2.222,0.0,0.0
4.444,0.0,3.333,1.111,1.111,0.0,2.222,2.222,0.0,0.0,5.556,2.222
1.111,0.0,1.111,0.0,0.0,0.0,3.333,1.111,0.0,3.333,3.333,2.222
4.444,0.0,2.222,0.0,0.0,0.0,2.222,2.222,0.0,0.0,4.444,0.0
7.778,1.111,3.333,0.0,0.0,2.222,0.0,0.0,0.0,1.111,6.667,1.111
1.111,3.333,5.556,1.111,0.0,1.111,2.222,1.111,0.0,0.0,4.444,1.111
6.667,0.0,4.444,4.444,1.111,0.0,1.111,3.333,0.0,2.222,4.444,0.0
2.222,0.0,2.222,2.222,1.111,0.0,2.222,0.0,0.0,0.0,3.333,0.0
1.111,3.333,2.222,3.333,1.111,0.0,2.222,1.111,1.111,1.111,2.222,0.0
2.222,0.0,5.556,1.111,1.111,0.0,2.222,1.111,0.0,2.222,6.667,1.111
3.333,0.0,5.556,2.222,0.0,0.0,6.667,0.0,0.0,0.0,5.556,0.0
2.222,0.0,6.667,4.444,1.111,1.111,2.222,0.0,0.0,1.111,2.222,0.0
0.0,2.222,5.556,2.222,0.0,0.0,3.333,0.0,0.0,3.333,4.444,3.333
4.444,0.0,1.111,4.444,0.0,0.0,2.222,0.0,0.0,0.0,5.556,0.0
1.111,4.444,3.333,1.111,0.0,0.0,1.111,0.0,0.0,1.111,2.222,1.111
2.222,3.333,3.333,5.556,0.0,1.111,3.333,0.0,2.222,0.0,1.111,0.0
1.111,3.333,3.333,3.333,0.0,1.111,5.556,0.0,2.222,1.111,2.222,0.0
2.222,0.0,3.333,6.667,0.0,0.0,2.222,0.0,0.0,3.333,4.444,0.0
5.556,0.0,5.556,5.556,0.0,0.0,3.333,2.222,0.0,1.111,6.667,1.111
0.0,10.0,2.222,2.222,0.0,0.0,3.333,0.0,1.111,4.444,4.444,1.111
4.444,1.111,1.111,3.333,0.0,0.0,1.111,1.111,1.111,1.111,6.667,0.0
2.222,1.111,5.556,2.222,1.111,0.0,1.111,1.111,1.111,0.0,5.556,3.333
0.0,0.0,5.556,1.111,1.111,0.0,2.222,0.0,0.0,0.0,5.556,1.111
5.556,0.0,3.333,1.111,0.0,0.0,6.667,1.111,0.0,0.0,7.778,0.0
0.0,0.0,1.111,2.222,1.111,0.0,3.333,1.111,0.0,0.0,4.444,1.111
3.333,0.0,6.667,1.111,0.0,0.0,1.111,1.111,0.0,0.0,5.556,0.0
6.667,0.0,4.444,0.0,0.0,0.0,3.333,1.111,0.0,1.111,6.667,0.0
2.222,0.0,3.333,3.333,0.0,0.0,3.333,0.0,0.0,1.111,0.0,1.111
5.556,0.0,4.444,1.111,2.222,0.0,3.333,0.0,0.0,2.222,6.667,1.111
3.333,0.0,4.444,2.222,0.0,0.0,3.333,1.111,0.0,2.222,6.667,0.0
3.333,0.0,3.333,3.333,2.222,0.0,1.111,5.556,0.0,0.0,11.111,1.111
5.556,5.556,0.0,2.222,0.0,1.111,2.222,2.222,2.222,2.222,10.0,0.0
4.444,4.444,1.111,1.111,1.111,0.0,3.333,1.111,2.222,3.333,3.333,1.111
3.333,4.444,1.111,1.111,0.0,1.111,4.444,3.333,1.111,0.0,1.111,0.0
1.111,2.222,2.222,2.222,4.444,0.0,5.556,0.0,1.111,1.111,2.222,0.0
4.444,0.0,1.111,1.111,0.0,0.0,2.222,0.0,0.0,2.222,3.333,0.0
2.222,2.222,1.111,1.111,1.111,0.0,2.222,0.0,0.0,1.111,4.444,0.0
1.111,2.222,2.222,4.444,0.0,1.111,0.0,0.0,0.0,0.0,3.333,0.0
1.111,0.0,3.333,2.222,0.0,0.0,5.556,0.0,0.0,2.222,2.222,1.111
4.444,0.0,2.222,1.111,0.0,0.0,3.333,1.111,0.0,2.222,3.333,0.0
2.222,0.0,2.222,1.111,1.111,0.0,1.111,0.0,0.0,2.222,5.556,1.111
7.778,0.0,2.222,0.0,0.0,0.0,3.333,2.222,0.0,1.111,4.444,0.0
3.333,0.0,5.556,3.333,4.444,0.0,3.333,0.0,0.0,3.333,3.333,0.0
2.222,0.0,2.222,1.111,1.111,0.0,2.222,0.0,0.0,1.111,7.778,3.333
5.556,0.0,4.444,0.0,1.111,0.0,0.0,1.111,0.0,1.111,4.444,0.0
1.111,0.0,1.111,5.556,0.0,0.0,5.556,1.111,0.0,0.0,2.222,1.111
1.111,0.0,2.222,3.333,2.222,1.111,2.222,1.111,1.111,2.222,0.0,0.0
3.333,0.0,1.111,2.222,0.0,0.0,4.444,2.222,1.111,0.0,4.444,0.0
6.667,0.0,0.0,2.222,0.0,0.0,4.444,1.111,0.0,0.0,3.333,1.111
3.333,0.0,2.222,1.111,3.333,0.0,3.333,1.111,0.0,2.222,5.556,0.0
3.333,0.0,3.333,1.111,0.0,1.111,4.444,2.222,0.0,1.111,2.222,0.0
6.667,0.0,5.556,2.222,0.0,0.0,2.222,2.222,0.0,0.0,6.667,0.0
2.222,3.333,2.222,1.111,1.111,0.0,3.333,1.111,0.0,1.111,7.778,0.0
4.444,5.556,1.111,0.0,0.0,0.0,1.111,2.222,1.111,3.333,2.222,0.0
1.111,4.444,3.333,3.333,0.0,1.111,4.444,3.333,2.222,1.111,0.0,0.0
2.222,3.333,1.111,1.111,0.0,0.0,2.222,0.0,0.0,1.111,5.556,0.0
2.222,2.222,2.222,2.222,0.0,2.222,3.333,0.0,1.111,0.0,6.667,1.111
4.444,1.111,2.222,1.111,1.111,1.111,1.111,0.0,1.111,0.0,3.333,0.0
3.333,6.667,0.0,2.222,0.0,1.111,3.333,0.0,2.222,1.111,3.333,1.111
3.333,4.444,1.111,2.222,0.0,0.0,8.889,0.0,1.111,0.0,2.222,0.0
1.111,6.667,1.111,3.333,0.0,0.0,2.222,1.111,2.222,1.111,1.111,0.0
2.222,6.667,1.111,1.111,1.111,0.0,5.556,0.0,0.0,1.111,1.111,0.0
1.111,6.667,1.111,2.222,0.0,0.0,2.222,1.111,2.222,1.111,1.111,2.222
1.111,1.111,1.111,3.333,0.0,0.0,3.333,2.222,0.0,2.222,0.0,0.0
6.667,1.111,4.444,2.222,0.0,0.0,2.222,1.111,2.222,1.111,2.222,0.0
3.333,2.222,2.222,2.222,1.111,0.0,4.444,0.0,0.0,3.333,2.222,0.0
2.222,4.444,2.222,1.111,0.0,2.222,6.667,0.0,3.333,4.444,0.0,1.111
2.222,5.556,0.0,1.111,0.0,0.0,1.111,0.0,1.111,5.556,2.222,0.0
2.222,0.0,3.333,1.111,0.0,0.0,3.333,0.0,0.0,0.0,3.333,0.0
4.444,2.222,2.222,0.0,1.111,0.0,4.444,1.111,0.0,1.111,6.667,0.0
0.0,0.0,3.333,1.111,1.111,0.0,4.444,0.0,0.0,1.111,4.444,0.0
4.444,7.778,1.111,2.222,0.0,1.111,3.333,0.0,1.111,2.222,2.222,0.0
2.222,7.778,1.111,2.222,0.0,0.0,3.333,0.0,0.0,3.333,0.0,2.222
2.222,6.667,1.111,0.0,0.0,0.0,1.111,1.111,0.0,1.111,2.222,1.111
1.111,7.778,1.111,0.0,0.0,0.0,7.778,0.0,0.0,1.111,3.333,1.111
4.444,0.0,0.0,2.222,0.0,0.0,0.0,2.222,2.222,0.0,2.222,0.0
4.444,4.444,4.444,1.111,0.0,0.0,1.111,1.111,2.222,1.111,2.222,1.111
2.222,2.222,6.667,0.0,0.0,0.0,1.111,0.0,0.0,1.111,3.333,1.111
1.111,1.111,2.222,3.333,0.0,0.0,2.222,0.0,0.0,0.0,6.667,0.0
3.333,4.444,3.333,1.111,0.0,1.111,2.222,0.0,0.0,0.0,2.222,0.0
2.222,10.0,4.444,1.111,0.0,0.0,5.556,1.111,0.0,1.111,2.222,1.111
1.111,6.667,4.444,1.111,0.0,0.0,4.444,0.0,0.0,2.222,2.222,1.111
3.333,1.111,3.333,1.111,3.333,0.0,4.444,0.0,0.0,1.111,1.111,3.333
2.222,2.222,6.667,2.222,0.0,0.0,0.0,1.111,0.0,1.111,3.333,0.0
4.444,4.444,4.444,2.222,1.111,1.111,3.333,2.222,0.0,0.0,1.111,0.0
1.111,4.444,0.0,2.222,0.0,1.111,3.333,2.222,2.222,1.111,2.222,0.0
1.111,5.556,4.444,3.333,0.0,0.0,3.333,2.222,0.0,1.111,2.222,1.111
2.222,0.0,2.222,6.667,2.222,0.0,1.111,0.0,0.0,2.222,1.111,0.0
1.111,3.333,2.222,1.111,0.0,0.0,2.222,4.444,0.0,2.222,4.444,0.0
1.111,2.222,3.333,0.0,0.0,2.222,5.556,2.222,2.222,1.111,1.111,0.0
4.444,1.111,3.333,1.111,0.0,1.111,4.444,1.111,1.111,0.0,5.556,0.0
1.111,6.667,5.556,0.0,1.111,0.0,4.444,1.111,1.111,1.111,1.111,0.0
1.111,6.667,3.333,0.0,0.0,1.111,2.222,1.111,0.0,0.0,2.222,0.0
2.222,2.222,2.222,1.111,0.0,1.111,7.778,0.0,2.222,1.111,2.222,1.111
3.333,5.556,2.222,3.333,0.0,0.0,1.111,2.222,1.111,1.111,4.444,0.0
4.444,3.333,1.111,2.222,0.0,0.0,5.556,0.0,1.111,1.111,7.778,0.0
2.222,4.444,2.222,1.111,1.111,2.222,1.111,0.0,2.222,0.0,2.222,0.0
1.111,2.222,1.111,2.222,0.0,0.0,3.333,0.0,3.333,1.111,1.111,0.0
4.444,1.111,1.111,2.222,0.0,0.0,5.556,0.0,2.222,1.111,4.444,1.111
2.222,2.222,1.111,2.222,0.0,1.111,1.111,1.111,1.111,3.333,4.444,0.0
2.222,4.444,1.111,2.222,1.111,0.0,6.667,0.0,0.0,1.111,3.333,0.0
0.0,1.111,1.111,0.0,1.111,1.111,6.667,0.0,2.222,0.0,1.111,2.222
1.111,2.222,3.333,1.111,0.0,0.0,4.444,0.0,1.111,0.0,3.333,2.222
1.111,1.111,6.667,2.222,0.0,0.0,3.333,0.0,1.111,0.0,1.111,0.0
1.111,0.0,2.222,3.333,0.0,1.111,5.556,1.111,0.0,2.222,3.333,0.0
3.333,0.0,3.333,5.556,0.0,0.0,6.667,2.222,1.111,0.0,3.333,0.0
4.444,1.111,2.222,1.111,0.0,0.0,3.333,1.111,2.222,2.222,5.556,0.0
4.444,0.0,5.556,2.222,0.0,1.111,5.556,0.0,0.0,0.0,7.778,0.0
1.111,1.111,6.667,0.0,0.0,2.222,1.111,0.0,0.0,1.111,1.111,1.111
3.333,6.667,1.111,1.111,1.111,0.0,1.111,1.111,1.111,1.111,2.222,0.0
3.333,2.222,1.111,0.0,0.0,0.0,3.333,0.0,0.0,3.333,3.333,0.0
3.333,1.111,2.222,3.333,1.111,0.0,4.444,0.0,3.333,3.333,3.333,0.0
3.333,2.222,1.111,3.333,0.0,1.111,5.556,0.0,1.111,1.111,1.111,0.0
3.333,0.0,2.222,1.111,0.0,0.0,4.444,0.0,0.0,2.222,3.333,0.0
2.222,0.0,4.444,1.111,1.111,0.0,3.333,0.0,0.0,1.111,2.222,0.0
4.444,0.0,7.778,2.222,3.333,0.0,3.333,1.111,0.0,1.111,0.0,0.0
2.222,0.0,3.333,0.0,0.0,0.0,7.778,1.111,0.0,1.111,5.556,1.111
4.444,0.0,2.222,1.111,0.0,1.111,3.333,0.0,0.0,3.333,4.444,0.0
5.556,0.0,3.333,4.444,0.0,0.0,4.444,0.0,0.0,1.111,6.667,1.111
8.889,0.0,1.111,2.222,0.0,0.0,2.222,2.222,0.0,0.0,6.667,2.222
3.333,0.0,4.444,1.111,3.333,2.222,4.444,0.0,0.0,2.222,2.222,0.0
4.444,0.0,1.111,1.111,1.111,1.111,5.556,0.0,0.0,0.0,2.222,0.0
6.667,0.0,2.222,0.0,1.111,0.0,3.333,0.0,0.0,1.111,8.889,1.111
4.444,2.222,2.222,0.0,0.0,1.111,3.333,0.0,0.0,2.222,4.444,1.111
2.222,2.222,4.444,2.222,0.0,0.0,3.333,2.222,2.222,1.111,0.0,1.111
4.444,0.0,2.222,1.111,1.111,1.111,3.333,0.0,0.0,0.0,5.556,0.0
4.444,0.0,1.111,0.0,1.111,2.222,3.333,1.111,0.0,0.0,3.333,0.0
3.333,0.0,4.444,0.0,0.0,0.0,4.444,4.444,0.0,1.111,3.333,0.0
3.333,0.0,2.222,2.222,0.0,1.111,3.333,0.0,0.0,1.111,3.333,0.0
1.111,3.333,3.333,1.111,0.0,0.0,1.111,0.0,0.0,1.111,2.222,1.111
1.111,5.556,1.111,1.111,1.111,1.111,3.333,4.444,0.0,0.0,1.111,0.0
2.222,3.333,3.333,0.0,0.0,0.0,1.111,0.0,0.0,2.222,0.0,0.0
3.333,4.444,2.222,1.111,0.0,0.0,3.333,1.111,0.0,1.111,7.778,1.111
2.222,0.0,4.444,1.111,0.0,0.0,6.667,0.0,0.0,0.0,3.333,0.0
4.444,0.0,2.222,2.222,0.0,0.0,4.444,0.0,0.0,1.111,2.222,0.0
1.111,0.0,3.333,0.0,1.111,0.0,6.667,0.0,0.0,0.0,3.333,0.0
5.556,0.0,1.111,2.222,1.111,0.0,3.333,0.0,0.0,1.111,4.444,1.111
3.333,0.0,3.333,2.222,0.0,0.0,5.556,0.0,0.0,0.0,5.556,0.0
3.333,0.0,3.333,0.0,0.0,0.0,4.444,2.222,0.0,1.111,2.222,1.111
2.222,3.333,2.222,1.111,0.0,0.0,3.333,1.111,0.0,0.0,3.333,0.0
2.222,5.556,4.444,1.111,0.0,0.0,2.222,0.0,0.0,1.111,2.222,1.111
5.556,2.222,0.0,1.111,1.111,0.0,0.0,1.111,0.0,1.111,5.556,3.333
3.333,0.0,6.667,1.111,1.111,0.0,2.222,0.0,0.0,2.222,4.444,0.0
5.556,0.0,3.333,2.222,1.111,0.0,2.222,2.222,0.0,1.111,2.222,1.111
5.556,0.0,3.333,4.444,2.222,0.0,4.444,0.0,0.0,0.0,3.333,0.0
1.111,0.0,5.556,2.222,1.111,0.0,5.556,3.333,0.0,1.111,0.0,1.111
3.333,0.0,5.556,0.0,1.111,0.0,3.333,1.111,0.0,0.0,2.222,2.222
2.222,0.0,2.222,5.556,1.111,0.0,5.556,1.111,0.0,1.111,4.444,0.0
5.556,1.111,5.556,3.333,1.111,0.0,1.111,0.0,1.111,1.111,6.667,1.111
3.333,1.111,4.444,0.0,0.0,1.111,2.222,0.0,0.0,1.111,3.333,0.0
0.0,3.333,2.222,3.333,0.0,0.0,4.444,0.0,1.111,4.444,0.0,1.111
1.111,3.333,5.556,2.222,0.0,0.0,5.556,0.0,1.111,1.111,2.222,0.0
0.0,3.333,3.333,2.222,0.0,0.0,2.222,0.0,3.333,1.111,2.222,1.111
0.0,5.556,3.333,1.111,0.0,0.0,7.778,2.222,1.111,1.111,1.111,0.0
2.222,3.333,4.444,2.222,1.111,0.0,3.333,0.0,1.111,0.0,5.556,1.111
3.333,0.0,3.333,1.111,0.0,0.0,3.333,0.0,0.0,1.111,5.556,0.0
3.333,0.0,3.333,3.333,2.222,0.0,4.444,1.111,0.0,1.111,4.444,0.0
2.222,2.222,3.333,2.222,0.0,0.0,3.333,0.0,0.0,2.222,2.222,0.0
0.0,1.111,4.444,3.333,0.0,1.111,4.444,2.222,0.0,2.222,3.333,0.0
4.444,0.0,7.778,2.222,0.0,0.0,4.444,2.222,0.0,1.111,4.444,0.0
7.778,0.0,6.667,1.111,1.111,0.0,3.333,1.111,0.0,0.0,5.556,0.0
4.444,0.0,6.667,3.333,1.111,0.0,1.111,1.111,0.0,0.0,3.333,2.222
3.333,0.0,4.444,1.111,1.111,0.0,7.778,0.0,0.0,2.222,2.222,1.111
5.556,0.0,3.333,6.667,0.0,0.0,1.111,0.0,0.0,2.222,5.556,0.0
1.111,0.0,1.111,1.111,0.0,1.111,6.667,2.222,0.0,1.111,2.222,0.0
2.222,0.0,5.556,1.111,1.111,1.111,3.333,0.0,0.0,1.111,1.111,1.111
0.0,4.444,3.333,1.111,0.0,1.111,2.222,0.0,3.333,1.111,2.222,2.222
1.111,0.0,7.778,0.0,0.0,0.0,4.444,1.111,0.0,2.222,2.222,0.0
1.111,0.0,3.333,1.111,0.0,0.0,3.333,0.0,1.111,2.222,3.333,0.0
3.333,1.111,1.111,0.0,0.0,0.0,2.222,0.0,2.222,1.111,3.333,1.111
1.111,6.667,7.778,4.444,0.0,0.0,3.333,3.333,0.0,1.111,3.333,1.111
1.111,3.333,1.111,3.333,1.111,0.0,4.444,3.333,1.111,2.222,2.222,0.0
0.0,3.333,4.444,0.0,0.0,0.0,7.778,0.0,0.0,0.0,2.222,0.0
0.0,2.222,4.444,1.111,0.0,0.0,4.444,0.0,0.0,2.222,2.222,0.0
4.444,3.333,1.111,0.0,0.0,0.0,7.778,2.222,2.222,2.222,7.778,0.0
0.0,0.0,6.667,0.0,0.0,0.0,5.556,1.111,0.0,2.222,5.556,0.0
1.111,2.222,4.444,2.222,0.0,0.0,2.222,4.444,1.111,1.111,3.333,2.222
1.111,1.111,3.333,1.111,0.0,0.0,4.444,1.111,0.0,3.333,5.556,1.111
4.444,1.111,2.222,1.111,2.222,0.0,4.444,2.222,0.0,2.222,6.667,0.0
1.111,2.222,3.333,5.556,0.0,0.0,3.333,1.111,2.222,2.222,2.222,0.0
3.333,0.0,3.333,0.0,1.111,0.0,6.667,2.222,0.0,0.0,4.444,0.0
4.444,0.0,4.444,1.111,0.0,0.0,4.444,1.111,0.0,0.0,7.778,0.0
2.222,0.0,1.111,3.333,2.222,0.0,4.444,0.0,0.0,0.0,6.667,1.111
2.222,0.0,5.556,2.222,0.0,0.0,2.222,1.111,0.0,0.0,8.889,1.111
6.667,0.0,6.667,1.111,0.0,0.0,3.333,0.0,0.0,2.222,4.444,0.0
4.444,1.111,2.222,1.111,0.0,0.0,1.111,1.111,1.111,1.111,4.444,0.0
2.222,0.0,4.444,0.0,0.0,0.0,5.556,1.111,0.0,0.0,5.556,1.111
7.778,0.0,2.222,1.111,1.111,0.0,4.444,1.111,0.0,1.111,14.444,0.0
3.333,0.0,0.0,2.222,0.0,1.111,3.333,1.111,0.0,1.111,2.222,0.0
5.556,0.0,2.222,0.0,1.111,0.0,4.444,3.333,0.0,0.0,3.333,0.0
1.111,5.556,3.333,2.222,1.111,0.0,4.444,3.333,0.0,2.222,1.111,0.0
4.444,2.222,4.444,1.111,1.111,0.0,2.222,0.0,1.111,0.0,2.222,0.0
1.111,0.0,3.333,1.111,1.111,0.0,3.333,0.0,0.0,1.111,5.556,0.0
0.0,0.0,5.556,0.0,0.0,0.0,7.778,0.0,0.0,0.0,7.778,0.0
5.556,0.0,1.111,1.111,0.0,0.0,1.111,0.0,0.0,0.0,6.667,1.111
2.222,0.0,5.556,2.222,1.111,0.0,5.556,0.0,0.0,3.333,2.222,1.111
2.222,2.222,7.778,1.111,0.0,0.0,4.444,0.0,0.0,0.0,3.333,1.111
0.0,0.0,3.333,0.0,0.0,0.0,3.333,1.111,0.0,2.222,2.222,1.111
1.111,4.444,3.333,4.444,0.0,0.0,2.222,0.0,1.111,0.0,1.111,3.333
1.111,3.333,0.0,3.333,0.0,0.0,5.556,3.333,4.444,0.0,0.0,1.111
1.111,2.222,4.444,3.333,0.0,0.0,4.444,0.0,0.0,0.0,4.444,1.111
4.444,0.0,3.333,3.333,0.0,0.0,4.444,0.0,0.0,0.0,3.333,1.111
5.556,1.111,3.333,2.222,0.0,0.0,4.444,0.0,0.0,0.0,8.889,3.333
0.0,1.111,4.444,3.333,0.0,0.0,1.111,3.333,2.222,2.222,1.111,1.111
1.111,4.444,3.333,3.333,0.0,1.111,6.667,3.333,0.0,1.111,3.333,2.222
